State;Name;Institution Type;Phone Number;Website;
AK;University of Alaska Southeast, Ketchikan Campus;ANNH;(907) 225-6177;www.ketch.alaska.edu;
AK;University of Alaska-Fairbanks, Chukchi Campus;ANNH;(907) 442-3400;www.uaf.educhukchi/;
AK;University of Alaska-Fairbanks, Interior-Aleutians Campus;ANNH;(907) 474-5439;www.uaf.eduiac/;
AK;University of Alaska-Fairbanks, Kuskokwim Campus;ANNH;(907) 543-4500;http://www.bethel.uaf.edu;
AK;University of Alaska-Fairbanks, Bristol Bay;ANNH;(907) 842.5109;http://www.uaf.edubbc/index.xml;
AK;Ilisagvik College;AANAPISI, ANNH, Tribal;(907) 852-3333;www.ilisagvik.edu;
AL;Stillman College;HBCU;(205) 349-4240;www.stillman.edu;
AL;Shelton State Community College;HBCU;(205) 391-2211;www.sheltonstate.edu;
AL;Lawson State Community College-Birmingham Campus;HBCU;(205) 925-2515;www.lawsonstate.edu;
AL;Miles College;HBCU;(205) 929-1000;www.miles.edu;
AL;Bishop State Community College;HBCU;(251) 405-7000;www.bishop.edu;
AL;Alabama A & M University;HBCU;(256) 372-5000;www.aamu.edu;
AL;J F Drake State Technical College;HBCU;(256) 539-8161;www.drakestate.edu;
AL;Gadsden State Community College;HSI;(256) 549-8200;www.gadsdenstate.edu;
AL;Oakwood University;HBCU;(256) 726-7000;www.oakwood.edu;
AL;Talladega College;HBCU;(256) 761-6100;www.talladega.edu;
AL;Alabama State University;HBCU;(334) 229-4400;www.alasu.edu;
AL;H Councill Trenholm State Technical College;HBCU;(334) 420-4200;www.trenholmstate.edu;
AL;Concordia College-Selma;AANAPISI;(334) 526-9141;www.concordiaselma.edu;
AL;Tuskegee University;HBCU;(334) 727-8011;www.tuskegee.edu;
AL;Selma University;HBCU;(334) 872-2533;www.selmauniversity.org;
American Samoa;American Samoa Community College;AANAPISI;(684) 699 9155;www.amsamoa.edu;
AR;Arkansas Baptist College;HBCU;(501) 370-4000;www.arkansasbaptist.edu;
AR;Philander Smith College;HBCU;(501) 375-9845;www.philander.edu;
AR;University of Arkansas at Pine Bluff;HBCU;(870) 575-8000;www.uapb.edu;
AZ;Frank Lloyd Wright School of Architecture;AANAPISI;(480) 627-5345;http://www.taliesin.edu;
AZ;Ima Community College;HSI;(520) 206-4500;www.pima.edu;
AZ;Tohono O’odham Community College ;Tribal;(520) 383-8401;www.tocc.cc.az.us;
AZ;Cochise College;HSI;(520) 417-4005;www.cochise.edu;
